[info] welcome to sbt 1.5.5 (Ubuntu Java 11.0.24)
[info] loading settings for project nucleusrv-build from metals.sbt,plugins.sbt ...
[info] loading project definition from /home/owais/nucleusrv/project
[info] loading settings for project root from build.sbt ...
[info] set current project to nucleusrv (in build file:/home/owais/nucleusrv/)
[info] TopTest:
checking
ClkCycle:          5, pc_rdata: 00000000, pc_wdata: 00000004, insn: 7d5c0837, mode: 3, rs1_addr: 24, rs1_rdata: 00000000, rs2_addr: 21, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          6, pc_rdata: 00000004, pc_wdata: 00000008, insn: ddb80813, mode: 3, rs1_addr: 16, rs1_rdata: 00000000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: fffffddb, mem_addr: fffffddb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          7, pc_rdata: 00000008, pc_wdata: 0000000c, insn: 00b81813, mode: 3, rs1_addr: 16, rs1_rdata: 00000000, rs2_addr: 11, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: ffeed800, mem_addr: ffeed800, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          8, pc_rdata: 0000000c, pc_wdata: 00000010, insn: 3ea80813, mode: 3, rs1_addr: 16, rs1_rdata: 00000000, rs2_addr: 10, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: ffeedbea, mem_addr: ffeedbea, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:          9, pc_rdata: 00000010, pc_wdata: 00000014, insn: 00b81813, mode: 3, rs1_addr: 16, rs1_rdata: fffffddb, rs2_addr: 11, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 76df5000, mem_addr: 76df5000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         10, pc_rdata: 00000014, pc_wdata: 00000018, insn: 6ff80813, mode: 3, rs1_addr: 16, rs1_rdata: ffeed800, rs2_addr: 31, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 76df56ff, mem_addr: 76df56ff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         11, pc_rdata: 00000018, pc_wdata: 0000001c, insn: 00a81813, mode: 3, rs1_addr: 16, rs1_rdata: ffeedbea, rs2_addr: 10, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 7d5bfc00, mem_addr: 7d5bfc00, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         12, pc_rdata: 0000001c, pc_wdata: 00000020, insn: 1db80813, mode: 3, rs1_addr: 16, rs1_rdata: 76df5000, rs2_addr: 27, rs2_rdata: 00000000, rd_addr: 16, rd_wdata: 7d5bfddb, mem_addr: 7d5bfddb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         13, pc_rdata: 00000020, pc_wdata: 00000024, insn: 00785893, mode: 3, rs1_addr: 16, rs1_rdata: 76df56ff, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 17, rd_wdata: b6fab7fb, mem_addr: b6fab7fb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         14, pc_rdata: 00000024, pc_wdata: 00000028, insn: 03985793, mode: 3, rs1_addr: 16, rs1_rdata: 7d5bfc00, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 0000007f, mem_addr: 0000007f, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         15, pc_rdata: 00000028, pc_wdata: 0000002c, insn: 00f8e8b3, mode: 3, rs1_addr: 17, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 17, rd_wdata: b6fab7ff, mem_addr: b6fab7ff, mem_rdata: 00000000, mem_wdata: 0000007f
ClkCycle:         16, pc_rdata: 0000002c, pc_wdata: 00000030, insn: 0078d913, mode: 3, rs1_addr: 17, rs1_rdata: b6fab7fb, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 18, rd_wdata: f76df56f, mem_addr: f76df56f, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         17, pc_rdata: 00000030, pc_wdata: 00000034, insn: 0398d793, mode: 3, rs1_addr: 17, rs1_rdata: b6fab7fb, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         18, pc_rdata: 00000034, pc_wdata: 00000038, insn: 00f96933, mode: 3, rs1_addr: 18, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 0000007f, rd_addr: 18, rd_wdata: f76df56f, mem_addr: f76df56f, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         19, pc_rdata: 00000038, pc_wdata: 0000003c, insn: 00795993, mode: 3, rs1_addr: 18, rs1_rdata: f76df56f, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 19, rd_wdata: ffeedbea, mem_addr: ffeedbea, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         20, pc_rdata: 0000003c, pc_wdata: 00000040, insn: 03995793, mode: 3, rs1_addr: 18, rs1_rdata: f76df56f, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         21, pc_rdata: 00000040, pc_wdata: 00000044, insn: 00f9e9b3, mode: 3, rs1_addr: 19, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 19, rd_wdata: ffeedbea, mem_addr: ffeedbea, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         22, pc_rdata: 00000044, pc_wdata: 00000048, insn: 0079da13, mode: 3, rs1_addr: 19, rs1_rdata: ffeedbea, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 20, rd_wdata: ffffddb7, mem_addr: ffffddb7, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         23, pc_rdata: 00000048, pc_wdata: 0000004c, insn: 0399d793, mode: 3, rs1_addr: 19, rs1_rdata: ffeedbea, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         24, pc_rdata: 0000004c, pc_wdata: 00000050, insn: 00fa6a33, mode: 3, rs1_addr: 20, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 20, rd_wdata: ffffddb7, mem_addr: ffffddb7, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         25, pc_rdata: 00000050, pc_wdata: 00000054, insn: 007a5a93, mode: 3, rs1_addr: 20, rs1_rdata: ffffddb7, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 21, rd_wdata: 1fffffbb, mem_addr: 1fffffbb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         26, pc_rdata: 00000054, pc_wdata: 00000058, insn: 039a5793, mode: 3, rs1_addr: 20, rs1_rdata: ffffddb7, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         27, pc_rdata: 00000058, pc_wdata: 0000005c, insn: 00faeab3, mode: 3, rs1_addr: 21, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 21, rd_wdata: 1fffffbb, mem_addr: 1fffffbb, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         28, pc_rdata: 0000005c, pc_wdata: 00000060, insn: 007adb13, mode: 3, rs1_addr: 21, rs1_rdata: 1fffffbb, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 22, rd_wdata: 003fffff, mem_addr: 003fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         29, pc_rdata: 00000060, pc_wdata: 00000064, insn: 039ad793, mode: 3, rs1_addr: 21, rs1_rdata: 1fffffbb, rs2_addr: 25, rs2_rdata: 00000000, rd_addr: 15, rd_wdata: 00000000, mem_addr: 00000000, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         30, pc_rdata: 00000064, pc_wdata: 00000068, insn: 00fb6b33, mode: 3, rs1_addr: 22, rs1_rdata: 00000000, rs2_addr: 15, rs2_rdata: 00000000, rd_addr: 22, rd_wdata: 003fffff, mem_addr: 003fffff, mem_rdata: 00000000, mem_wdata: 00000000
ClkCycle:         31, pc_rdata: 00000068, pc_wdata: 0000006c, insn: 007b5b93, mode: 3, rs1_addr: 22, rs1_rdata: 003fffff, rs2_addr:  7, rs2_rdata: 00000000, rd_addr: 23, rd_wdata: 00007fff, mem_addr: 00007fff, mem_rdata: 00000000, mem_wdata: 00000000
